25	7	0	40	0	30162
38	9	0	50	0	30163
28	12	0	40	1	30164
44	10	7688	40	1	30165
34	6	0	30	0	30166
63	15	3103	32	1	30167
24	10	0	40	0	30168
55	4	0	10	0	30169
65	9	6418	40	1	30170
36	13	0	40	0	30171
26	9	0	39	0	30172
48	9	3103	48	1	30173
43	14	0	50	1	30174
20	10	0	25	0	30175
43	9	0	30	0	30176
37	9	0	20	0	30177
34	13	0	47	1	30178
34	10	0	35	0	30179
25	13	0	43	0	30180
25	13	0	40	0	30181
45	9	7298	90	1	30182
22	9	0	20	0	30183
23	9	0	54	0	30184
54	9	0	35	0	30185
32	10	0	60	0	30186
46	10	7688	38	1	30187
56	7	0	50	0	30188
24	13	0	50	0	30189
23	10	0	40	0	30190
26	9	0	40	0	30191
36	13	0	40	1	30192
22	3	0	50	0	30193
17	6	0	40	0	30194
20	9	0	40	0	30195
65	14	0	50	1	30196
44	11	0	45	1	30197
36	9	0	40	0	30198
29	7	0	40	0	30199
20	10	0	32	0	30200
28	11	0	36	1	30201
39	4	0	40	0	30202
54	10	3908	50	0	30203
52	7	0	18	0	30204
56	9	0	50	0	30205
18	10	0	20	0	30206
39	9	0	40	0	30207
21	10	0	24	0	30208
22	9	14084	60	1	30209
38	5	0	54	0	30210
21	10	0	40	0	30211
63	9	0	40	0	30212
34	13	3103	50	1	30213
42	9	5178	50	1	30214
33	9	0	40	0	30215
30	13	0	50	0	30216
39	10	0	40	0	30217
26	14	0	40	0	30218
33	9	0	40	0	30219
47	9	0	40	0	30220
41	12	15024	60	1	30221
19	10	0	20	0	30222
46	9	0	40	0	30223
43	9	0	48	0	30224
55	10	15024	45	1	30225
46	11	0	40	0	30226
30	9	0	40	0	30227
21	10	0	40	0	30228
46	10	0	40	0	30229
41	9	0	50	0	30230
69	9	0	30	0	30231
50	9	0	40	0	30232
20	10	0	40	0	30233
45	10	0	50	0	30234
23	13	0	40	0	30235
24	10	0	40	0	30236
31	10	0	50	0	30237
43	9	0	44	0	30238
20	7	0	10	0	30239
55	9	0	56	1	30240
24	10	0	40	0	30241
59	13	0	25	0	30242
49	4	0	20	0	30243
33	14	5178	10	1	30244
59	13	0	40	0	30245
34	14	0	40	0	30246
20	9	0	40	0	30247
25	13	0	40	0	30248
49	6	0	40	0	30249
59	9	0	40	1	30250
20	9	0	40	0	30251
33	10	0	35	0	30252
22	10	0	39	0	30253
58	5	0	40	0	30254
52	9	0	28	0	30255
36	6	0	40	0	30256
41	9	0	40	0	30257
28	9	2597	40	0	30258
19	10	0	16	0	30259
18	9	0	28	0	30260
18	9	0	48	0	30261
28	10	0	40	0	30262
29	11	0	40	1	30263
40	10	0	40	0	30264
